url;brand;category;price;size;delivery time;now
https://www.zalando.nl/young-poets-society-cropped-structure-chino-soft-grass-yoj22e00p-m11.html;YOUNG POETS SOCIETY;CROPPED STRUCTURE - Chino;132,08;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/sean-john-script-logo-essential-pants-trainingsbroek-light-blue-s5e22e012-k11.html;Sean John;SCRIPT LOGO ESSENTIAL PANTS - Trainingsbroek;59,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/soliver-shorts-grey-so222f0kp-c11.html;s.Oliver;Shorts;49,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/soliver-shorts-black-so222f0kp-q11.html;s.Oliver;Shorts;49,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/soliver-shorts-khaki-oliv-so222f0kp-n11.html;s.Oliver;Shorts;49,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/mizuno-athletic-half-pant-korte-broeken-tapestry-m2742e01d-k11.html;Mizuno;ATHLETIC HALF PANT - Korte broeken;39,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/icepeak-anzio-outdoorshorts-dark-blue-ic142e04e-k11.html;Icepeak;ANZIO - Outdoorshorts;49,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/soliver-shorts-hazelnut-so222f0ko-o11.html;s.Oliver;Shorts;39,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/solid-aurelius-shorts-insignia-blue-so422f05o-k11.html;Solid;AURELIUS - Shorts;39,95;;4-8;2022-03-17 17:06:48.298391
https://www.zalando.nl/jack-and-jones-t-shirt-print-bluefin-ja222o4bw-k12.html;Jack & Jones;SUNNY SKULL - T-shirt print;19,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/jack-and-jones-jjirick-jjoriginal-jeansshort-black-ja222f0t9-q11.html;Jack & Jones;JJIRICK JJORIGINAL AKM - Jeansshort;24,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/superdry-shorts-black-su222f0a0-q11.html;Superdry;Shorts;49,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/jack-and-jones-2-pack-cargobroek-black-ja222e134-q11.html;Jack & Jones;2 PACK - Cargobroek;69,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/boss-chup-poloshirt-white-bb122p0i1-a11.html;BOSS;CHUP - Poloshirt;79,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/ps-paul-smith-t-shirt-print-dark-blue-ps722o06t-k11.html;PS Paul Smith;T-shirt print;79,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/state-of-art-chino-dark-blue-plain-oa422e01d-k11.html;State of Art;Chino;119,95;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/superdry-vintage-embroidered-t-shirt-basic-coral-marl-su222o26l-g11.html;Superdry;VINTAGE EMBROIDERED  - T-shirt basic;24,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/maison-labiche-maine-jeansshort-off-white-m7h22f000-a11.html;Maison Labiche;MAINE  - Jeansshort;210,00;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/kavu-big-eddy-short-shorts-black-k0s22f001-q11.html;KAVU;BIG EDDY  - Shorts;64,95;;1-2;2022-03-17 17:06:48.298391
