date,date_ymd,url,brand,category,price,size,delivery_time,color
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/next-trui-grey-zir01i1x3-001.html,Next,Trui,23.9,XL,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/public-trui-green-zir01t261-001.html,Public,Trui,19.1,M,3-6,green
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/guess-trui-grey-zir01gomx-001.html,Guess,Trui,21.9,L,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/marks-and-spencer-london-trui-berry-zir016165-001.html,Marks & Spencer,Trui,18.9,M,3-6,berry
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/esprit-trui-grey-zir015b9d-001.html,Esprit,Trui,20.9,L,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/esprit-trui-blue-zir015amz-001.html,Esprit,Trui,18.9,L,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/farah-trui-blue-zir01i1qy-001.html,Farah,Trui,23.9,XL,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/asos-trui-black-zir015amd-001.html,ASOS,Trui,18.9,XL,3-6,black
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/blend-trui-blue-zir01t2r7-001.html,Blend,Trui,15.1,XXL,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/tom-tailor-denim-sweater-grey-zir01szm5-001.html,TOM TAILOR DENIM,Sweater,16.1,S,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/jack-and-jones-sweater-grey-zir011nnk-001.html,Jack & Jones,Hoodie,20.9,M,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/nike-performance-t-shirt-print-white-zir01500z-001.html,Nike Performance,T-shirt print,17.9,M,3-6,white
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/scotch-and-soda-sweater-blue-zir01b1dn-001.html,Scotch & Soda,Sweater,20.9,S,3-6,blue
