date,date_ymd,url,brand,category,price,delivery_time,color
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/nautica-competition-calda-t-shirt-print-marine-green-nau22o00o-m11.html,NAUTICA COMPETITION,T-shirt print,44.95,1-2,marine green
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/closed-cooper-tapered-jeans-tapered-fit-mid-blue-cl322g04t-k11.html,CLOSED,Jeans Tapered Fit,199.95,4-8,mid blue
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/jbs-of-denmark-poloshirt-black-jbc22p003-q11.html,JBS OF DENMARK,Poloshirt,49.95,1-2,black
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/just-cavalli-bomberjacks-black-ju622t01n-q11.html,Just Cavalli,Bomberjacks,544.95,1-2,black
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/tommy-hilfiger-square-logo-tee-t-shirt-print-black-to122o0io-q11.html,Tommy Hilfiger,T-shirt print,39.9,3-6,black
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/jandjoy-poloshirt-blue-j0922p03g-k11.html,J&JOY,Poloshirt,64.95,3-6,blue
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/recovered-star-wars-empire-t-shirt-print-dunkelgrau-r0o22o00q-c12.html,Re:Covered,T-shirt print,34.99,1-2,dunkelgrau
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/jack-and-jones-t-shirt-print-sunlight-ja222o4g6-e11.html,Jack & Jones,T-shirt print,17.99,3-6,sunlight
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/emporio-armani-t-shirt-print-nero-ea822o06e-q11.html,Emporio Armani,T-shirt print,134.95,1-2,nero
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/lc-waikiki-t-shirt-basic-beige-lca22o0f5-b11.html,LC Waikiki,T-shirt basic,19.95,1-2,beige
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/esprit-woven-regular-fit-overhemd-dark-mauve-es122d0ty-i11.html,Esprit,Overhemd,39.99,3-6,dark mauve
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/obey-clothing-end-of-the-world-t-shirt-print-wavelite-ob022o0ag-m11.html,Obey Clothing,T-shirt print,44.95,4-8,wavelite
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/volcom-opper-t-shirt-print-black-v1922o0ia-q11.html,Volcom,T-shirt print,34.95,1-2,black
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/gabba-shorts-navy-g5022f012-k11.html,Gabba,Shorts,59,1-2,navy
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/gabba-shorts-black-g5022f012-q11.html,Gabba,Shorts,59,1-2,black
